"tube_name","water_treatment","tube_type","ftc","WEOC_ugg","TDN_ugg","MBC_ugg","MBN_ugg","TotalN_percent","TotalC_percent"
"tube1","low","destructive cores","t0",7.36,,37.38,7.57,0.239,3.479
"tube2","low","destructive cores","t0",7.77,,35.28,7.59,0.242,3.149
"tube3","low","destructive cores","t0",11.42,,35.21,7.54,0.239,3.13
"tube4","high","destructive cores","t0",18.88,,35.13,7.58,0.244,3.11
"tube5","high","destructive cores","t0",18.04,,38.96,8.07,0.248,3.282
"tube6","high","destructive cores","t0",14.82,,39.65,8.32,0.243,3.123
"FOR_07","low","GHG cores",,39.9,23.85,44.68,8.71,,
"FOR_08","low","GHG cores",,19.9,12.72,45.25,8.16,,
"FOR_09","low","GHG cores",,20.94,10.44,46.26,8.51,,
"FOR_10","high","GHG cores",,38.78,15.21,12.77,4.54,,
"FOR_11","high","GHG cores",,25.29,30.96,43.2,8.4,,
"FOR_12","high","GHG cores",,33.58,14.52,30.92,6.59,,
"FOR_20","low","GHG cores",,21.45,3.92,31.41,6.42,,
"FOR_21","high","GHG cores",,45.89,1.84,66.96,12.51,,
"tube07","low","destructive cores","ftc1",26.56,10.3,34.72,6.49,,
"tube08","low","destructive cores","ftc1",26.56,8.7,38.07,7.08,,
"tube09","low","destructive cores","ftc1",28.75,8.51,35.47,6.51,,
"tube10","high","destructive cores","ftc1",20.16,11.48,42.12,7.54,,
"tube11","high","destructive cores","ftc1",17.64,10.6,42.27,7.75,,
"tube12","high","destructive cores","ftc1",18.85,10.81,42.96,7.82,,
"tube13","low","destructive cores","ftc2",20.71,9.42,42.45,8.96,0.239,3.09
"tube14","low","destructive cores","ftc2",19.58,8.37,41.81,8.74,0.251,3.355
"tube15","low","destructive cores","ftc2",20.16,10.09,44.71,9.07,0.247,3.243
"tube16","high","destructive cores","ftc2",22.6,15.64,41.77,8.54,0.248,3.196
"tube17","high","destructive cores","ftc2",23.48,16.99,44.95,9.04,0.241,3.122
"tube18","high","destructive cores","ftc2",26.01,16.66,55.5,11.83,0.234,3.008
"tube19","low","destructive cores","ftc3",30.5,10.3,33.75,6.29,,
"tube20","low","destructive cores","ftc3",28.28,10.38,36.01,6.71,,
"tube21","low","destructive cores","ftc3",24.6,11.75,33.84,6.34,,
"tube22","high","destructive cores","ftc3",14.89,13.84,39.78,7.25,,
"tube23","high","destructive cores","ftc3",18.12,17.64,38.21,7.32,,
"tube24","high","destructive cores","ftc3",19.94,13.9,39.83,7.35,,
