Pores,,,,,,,,,,Throats,,,,,,
Pore ID,Volume,Area,EqRadius,LabelID,Pressure,X Coord,Y Coord,Z Coord,Coordination Number,Throat ID,Area,EqRadius,ChannelLength,FlowRatePerSec,Pore ID #1,Pore ID #2
0,0.268370062,4.222762108,0.400142938,1,103098,21.03388405,20.88721657,16.4546299,1,0,0.069914699,0.149179548,3.499747753,0,5,2
1,0.805165649,11.44624901,0.577119231,2,103053.9531,39.46461105,21.13385582,16.46113014,4,1,0.263525814,0.289625406,4.198568344,1.03E+01,9,1
2,0.121946022,2.06411171,0.307628334,3,102833,44.8094902,20.90324783,16.31435585,1,2,0.086119011,0.165567309,4.862318516,13.06538296,11,1
3,0.100076772,2.0058887,0.288014859,4,103072.4063,23.0774231,20.90525246,16.4535656,1,3,9.415275574,1.731177449,4.258825779,7.70E+02,12,9
4,2.631025553,25.01043129,0.856404305,5,103072.4063,24.65823746,21.96798706,16.86729813,4,4,8.255029678,1.621005058,4.192726612,521.9262085,115,12
5,43.58196259,202.778183,2.183095455,6,102833,47.41259766,23.15798378,16.93743896,16,5,5.161980629,1.281838298,4.203313828,1430.16748,11,5
6,2.785497904,18.73029327,0.872846901,7,103071.5156,26.99875641,22.77062225,16.81856728,8,6,0.396744788,0.355369926,1.419735789,6.0025177,8,6
7,0.944873512,10.68975639,0.608735144,8,103076.1719,24.33924484,24.07516289,16.37121582,8,7,4.255876064,1.163910389,1.815377474,49.00591278,115,6
8,0.452482462,4.940217972,0.476252973,9,103072.8828,26.24685478,23.81817627,16.22449303,8,8,1.431913972,0.67512399,0.708589196,9.678547859,96,8
9,40.75344849,168.6329346,2.134806871,10,103069.6563,36.00720215,23.45939064,16.97706604,17,9,0.583058775,0.430805504,2.60934639,7.693538666,115,8
10,0.340527445,5.868279457,0.433199406,11,102855.1797,40.69467926,23.9472332,16.44073868,3,10,0.139456987,0.210690618,1.734977841,1.431366682,96,7
11,11.29124641,96.90583801,1.391717553,12,102838.6719,43.30953598,24.07048607,16.94579124,12,11,0.128569886,0.202299446,2.770512819,0.428271711,81,6
12,49.73016357,204.397522,2.281272173,13,103070.5859,32.12381744,25.1965065,17.17543602,23,12,0.442680895,0.375379413,1.996873617,1.731086731,81,8
13,0.2025958,2.399428606,0.364345938,14,103074.3203,25.1950531,24.43796921,16.25172997,5,13,5.152196407,1.280622959,2.545803308,799.6621094,115,81
14,1.316817164,13.63281059,0.679953098,15,102833,51.80610275,24.75953484,16.49388123,4,14,0.022236535,0.084131502,4.74321413,0.889636457,10,9
15,0.178006768,2.38074398,0.348965615,16,103080.0781,24.18074989,25.45835114,16.27590179,4,15,0.136064768,0.208112374,1.93042624,1.256701231,8,7
16,1.145249009,12.23688889,0.649038494,17,102834.9297,50.730896,25.97490311,16.5602169,5,16,0.925779998,0.542848885,4.697296619,0,14,5
17,0.437162876,5.376739502,0.470816374,18,103083.2188,23.04606247,25.95029068,16.36779022,5,17,4.427438736,1.187138319,2.736565828,4.23E+01,115,18
18,10.57261467,41.313694,1.361542702,19,103071.25,29.81951714,25.67777824,16.94610596,12,18,10.08058262,1.791298151,2.365167141,1125.710571,18,12
19,0.200042531,2.792389393,0.362808883,20,103097.3359,22.07150269,25.9122715,16.22727013,3,19,0.161491215,0.226725057,0.937183559,2.047570705,13,7
20,6.443601131,73.5592804,1.154374361,21,103069.6641,37.71032333,26.78919983,16.84656906,11,20,0.144755393,0.214655712,1.221135497,0.985918284,13,8
21,1.258758187,14.54013443,0.669809401,22,102833,51.6884613,26.75113297,16.69438362,4,21,0.437832683,0.373318195,2.666035414,47.22233963,11,10
22,0.132103562,3.577861071,0.315942913,23,103037.75,43.91986465,26.54528809,16.33624268,2,22,3.543279171,1.062007904,2.675849676,387.5628357,81,18
23,1.722286344,16.80928612,0.743599236,24,103069.6016,40.12265396,27.04907227,16.29835892,3,23,0.093788303,0.172782362,2.291172028,0.152862802,81,13
24,0.273809612,5.76935339,0.402828336,25,103069.7813,36.04740143,27.08822632,16.32780838,3,24,0.622531116,0.445149213,2.427912712,2.201664686,98,13
25,2.609433889,32.71530151,0.854055107,26,102847.8516,47.79861832,27.32793236,17.20913315,7,25,0.379852951,0.34772253,2.476608038,12.88682842,101,7
26,2.521290779,11.63926983,0.844328523,27,103073.2422,28.84662247,27.36785126,16.70178795,5,26,0.311232001,0.314751059,1.624065995,4.574574947,16,14
27,4.617352486,26.60115623,1.033002734,28,103074.6328,27.55713081,27.80472374,16.62016296,10,27,0.108620986,0.185943902,1.395498157,1.31E+00,15,7
28,0.476627439,6.805305004,0.484577745,29,103068.8047,42.64484406,28.19935608,16.34588432,3,28,6.25977087,1.411576033,1.790617108,1.17E+03,98,81
29,1.434711337,10.30122852,0.699667931,30,103077.6875,25.10787582,27.9687767,16.49135399,4,29,0.761376023,0.492294133,1.453317761,23.56736183,101,17
30,11.9150753,135.6789551,1.416889787,31,103068.7734,44.97850418,29.60171509,16.75030327,17,30,2.991998196,0.975900948,1.204670429,71.48371124,91,18
31,1.146137118,15.93009281,0.649206221,32,103071.125,31.62527466,29.02518463,16.31757545,3,31,0.614600778,0.44230476,4.369031429,6.631120682,16,5
32,0.858673155,15.34611225,0.589630246,33,103069.5547,41.09095764,29.55255318,16.44753265,7,32,0.169368789,0.232189059,2.233545065,2.762288094,98,15
33,5.537248611,26.79557419,1.097493172,34,103080.4531,26.41187668,29.15234947,16.81160545,9,33,2.532503605,0.897842348,3.742362976,0.197832897,20,9
34,0.207202777,5.272984982,0.367086977,35,103068.9844,42.49440002,29.78468704,16.32892418,4,34,0.528541982,0.410170853,0.835417926,8.833119392,93,19
35,2.548433065,38.00590897,0.847347498,36,103081.8438,28.98990059,31.31964302,16.46359634,7,35,0.124566153,0.199124679,0.985372067,8.846565247,19,17
36,5.05412674,20.57675171,1.06459856,37,103096.0156,24.43699074,30.41982269,16.74007607,5,36,0.032710258,0.102039203,1.240146518,0.1078353,17,15
37,0.834750176,12.16004658,0.584102809,38,103069.0625,42.79686356,31.52121735,16.31308937,7,37,0.189485759,0.245591506,2.005119562,0,21,14
38,0.233512476,3.319891214,0.382009208,39,103097.9766,22.49896812,31.71753883,16.23044014,2,38,0.595721602,0.435458452,1.239945531,21.95178986,21,16
39,0.371721655,10.7834549,0.446042687,40,103069.3203,46.37987137,33.56415176,16.31311035,3,39,0.750895858,0.488894224,2.487449884,0.540530324,23,20
40,1.246158481,11.69499111,0.667567015,41,103080.3516,33.80163193,33.63766479,16.49563408,5,40,0.04022789,0.113158897,3.179268837,0.013445788,94,19
41,2.582458019,23.28364372,0.851101935,42,103077.4609,39.31565857,35.40215683,16.40859032,7,41,0.254396141,0.284564227,3.016421556,12.61998367,94,17
42,2.174713135,19.65611649,0.803719461,43,103080.2734,33.32963943,34.75891495,16.4240551,9,42,0.027695546,0.093892314,2.620819569,2.318265438,22,11
43,0.54234618,6.095085144,0.505897641,44,103097.8906,22.39306641,35.17928696,16.32671738,3,43,1.166221976,0.609278262,2.306838274,30.65657806,81,27
44,0.811215758,12.52422333,0.578561127,45,103098,21.10806656,35.13506317,16.4118309,5,44,0.310586363,0.314424396,4.196582317,13.58202171,25,5
45,1.804878831,26.36647224,0.755300582,46,102833,51.30732346,35.3535881,16.30153084,4,45,3.751217365,1.092725754,2.308454037,9.829382896,98,27
46,1.036180377,12.67792225,0.627743542,47,103076.2891,41.11091232,36.41366196,16.42439079,5,46,0.651431739,0.455364853,3.122263193,18.29412651,27,18
47,6.153195381,65.46900177,1.136765003,48,103085.6563,30.07343674,36.24700546,16.56379318,9,47,0.047253374,0.122642636,3.686678648,0.002910667,24,9
48,0.251329809,3.164151192,0.391488016,49,103070.6563,43.12089539,36.48057175,16.24805641,3,48,2.678152323,0.92329973,1.965340137,290.2772217,26,18
49,2.189144611,26.16558838,0.805493355,50,103084.6797,33.19011688,36.38062668,16.72881126,8,49,3.114155531,0.995623648,1.363931417,391.4967041,27,26
50,0.422897905,6.334941387,0.465638608,51,103076.9297,39.8531456,37.01738358,16.38943863,4,50,0.102314845,0.180465579,4.437520504,0.075977199,24,12
51,0.185666561,3.989707947,0.353900909,52,103098,20.83766937,36.8964386,16.33767128,3,51,2.043930292,0.806599796,1.868719816,268.5714722,98,29
52,3.800863743,37.80948257,0.968124569,53,103087.2969,30.44303894,38.48062897,16.48705482,8,52,0.165931955,0.22982119,1.767438412,0.073066533,24,20
53,0.874714315,14.39503002,0.593279302,54,103070.6484,43.32003021,37.95420837,16.43106079,4,53,1.97013557,0.791905046,3.959682703,103.6503906,26,12
54,11.55723,91.56336975,1.402560949,55,103095.8125,23.1114769,37.73598099,16.87301636,15,54,0.136517689,0.208458468,2.772517681,0.212591603,28,23
55,0.999768615,8.909446716,0.620302677,56,103098,21.3385601,38.18784714,16.32978821,4,55,1.639414072,0.722386122,1.479631424,0.327938736,89,23
56,2.974938869,28.15348244,0.892201901,57,103081.0547,37.1832695,39.70810318,16.43000031,6,56,0.13103132,0.204226747,2.458120108,0.850373149,29,27
57,2.247647762,16.44324303,0.812605739,58,103098,21.44093704,39.3624115,16.80794334,6,57,0.730156243,0.482095361,2.752477884,0.276608914,30,28
58,2.457625866,13.2772274,0.837161124,59,103094.2969,24.70000267,40.19726181,16.44328499,3,58,1.094552517,0.590260029,3.955154419,6.458528042,31,12
59,0.415349126,3.900478363,0.462851375,60,103098,20.95469093,40.23267746,16.42836952,3,59,0.042717617,0.116608061,5.288265705,0.05548659,27,12
60,0.42123273,7.776965141,0.465026647,61,103080.9844,38.85741425,40.64720154,16.26557541,2,60,0.984077156,0.559679806,1.789922833,59.43111801,33,29
61,22.17019653,91.98384094,1.742717505,62,103098,22.79184532,41.49022675,17.36595917,17,61,2.236407757,0.84372431,1.778862715,651.163208,33,27
62,0.809217572,11.23365116,0.578085721,63,103085.5547,32.85338593,43.11954498,16.78275299,3,62,0.757377029,0.490999579,1.469949245,0.674209058,89,32
63,2.072083235,18.18397903,0.790871978,64,103080.5625,37.26626205,42.85377884,16.36631203,3,63,0.810828388,0.508030236,2.530129194,209.9907379,94,29
