[Header]	
System	TOC_TNb Standard	
S/W Version	1.00	
User		
Date/Time	3/10/2025 11:12:46 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Comments	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Mean Result	Rem.	SD Area	CV Area	SD Conc	CV Conc	Vial	Excluded	Inj. Vol.	Auto. Dil.	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\SBR_150uL_Method_Nov2021.met	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2025_02_10_11_09_16.cal	1.00			3/7/2025 3:02:18 PM	1	1	NPOC	0.6813	0.6036	0.1903	0.1686	NPOC:0.1686mg/L TN:0.02148mg/L	NPOC:0.1686mg/L TN:0.02148mg/L	*******	0.06765	11.21	0.01890	11.21	1	0	50	1.000	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\SBR_150uL_Method_Nov2021.met	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2025_02_10_11_09_16.cal	1.00			3/7/2025 3:04:29 PM	1	2	NPOC	0.5717	0.6036	0.1597	0.1686	NPOC:0.1686mg/L TN:0.02148mg/L	NPOC:0.1686mg/L TN:0.02148mg/L	*******	0.06765	11.21	0.01890	11.21	1	0	50	1.000	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\SBR_150uL_Method_Nov2021.met	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2025_02_10_11_09_16.cal	1.00			3/7/2025 3:06:50 PM	1	3	NPOC	0.7912	0.6036	0.2210	0.1686	NPOC:0.1686mg/L TN:0.02148mg/L	NPOC:0.1686mg/L TN:0.02148mg/L	*******	0.06765	11.21	0.01890	11.21	1	1	50	1.000	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\SBR_150uL_Method_Nov2021.met	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2025_02_10_11_09_16.cal	1.00			3/7/2025 3:09:15 PM	1	4	NPOC	0.3939	0.6036	0.1100	0.1686	NPOC:0.1686mg/L TN:0.02148mg/L	NPOC:0.1686mg/L TN:0.02148mg/L	*******	0.06765	11.21	0.01890	11.21	1	1	50	1.000	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\SBR_150uL_Method_Nov2021.met	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2025_02_10_11_09_16.cal	1.00			3/7/2025 3:11:24 PM	1	5	NPOC	0.5578	0.6036	0.1558	0.1686	NPOC:0.1686mg/L TN:0.02148mg/L	NPOC:0.1686mg/L TN:0.02148mg/L	*******	0.06765	11.21	0.01890	11.21	1	0	50	1.000	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\SBR_150uL_Method_Nov2021.met	C:\TOC-L\CalCurves\TN_0-3mgL_20220610.2022_09_28_18_57_43.cal	1.00			3/7/2025 3:02:18 PM	1	1	TN	0.5513	0.2529	0.05216	0.02148	NPOC:0.1686mg/L TN:0.02148mg/L	NPOC:0.1686mg/L TN:0.02148mg/L	*******	0.04013	15.87	0.00413	19.21	1	1	50	1.000	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\SBR_150uL_Method_Nov2021.met	C:\TOC-L\CalCurves\TN_0-3mgL_20220610.2022_09_28_18_57_43.cal	1.00			3/7/2025 3:04:29 PM	1	2	TN	0.2973	0.2529	0.02604	0.02148	NPOC:0.1686mg/L TN:0.02148mg/L	NPOC:0.1686mg/L TN:0.02148mg/L	*******	0.04013	15.87	0.00413	19.21	1	0	50	1.000	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\SBR_150uL_Method_Nov2021.met	C:\TOC-L\CalCurves\TN_0-3mgL_20220610.2022_09_28_18_57_43.cal	1.00			3/7/2025 3:06:50 PM	1	3	TN	0.2422	0.2529	0.02038	0.02148	NPOC:0.1686mg/L TN:0.02148mg/L	NPOC:0.1686mg/L TN:0.02148mg/L	*******	0.04013	15.87	0.00413	19.21	1	0	50	1.000	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\SBR_150uL_Method_Nov2021.met	C:\TOC-L\CalCurves\TN_0-3mgL_20220610.2022_09_28_18_57_43.cal	1.00			3/7/2025 3:09:15 PM	1	4	TN	0.2192	0.2529	0.01801	0.02148	NPOC:0.1686mg/L TN:0.02148mg/L	NPOC:0.1686mg/L TN:0.02148mg/L	*******	0.04013	15.87	0.00413	19.21	1	0	50	1.000	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\SBR_150uL_Method_Nov2021.met	C:\TOC-L\CalCurves\COMPASS_NPOC_0-100mgL_20220630.2025_02_10_11_09_16.cal	1.00			3/7/2025 3:18:54 PM	1	1	NPOC	0.5465	0.5656	0.1527	0.1580	NPOC:0.1580mg/L TN:0.06833mg/L	NPOC:0.1580mg/L TN:0.06833mg/L	*******	0.04394	7.77	0.01228	7.77	2	0	50	1.000	
